pinyin,tone,server_name,filename,url,status,size,http_status
a,1,a,a1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/a1.mp3,downloaded,19434,200
a,2,a,a2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/a2.mp3,downloaded,14418,200
a,3,a,a3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/a3.mp3,downloaded,19434,200
a,4,a,a4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/a4.mp3,downloaded,11284,200
ai,1,ai,ai1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ai1.mp3,downloaded,18807,200
ai,2,ai,ai2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ai2.mp3,downloaded,11910,200
ai,3,ai,ai3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ai3.mp3,downloaded,16299,200
ai,4,ai,ai4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ai4.mp3,downloaded,11910,200
an,1,an,an1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/an1.mp3,downloaded,20061,200
an,2,an,an2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/an2.mp3,downloaded,14418,200
an,3,an,an3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/an3.mp3,downloaded,18807,200
an,4,an,an4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/an4.mp3,downloaded,12537,200
ang,1,ang,ang1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ang1.mp3,downloaded,25076,200
ang,2,ang,ang2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ang2.mp3,downloaded,16926,200
ang,3,ang,ang3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ang3.mp3,downloaded,20061,200
ang,4,ang,ang4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ang4.mp3,downloaded,13164,200
ao,1,ao,ao1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ao1.mp3,downloaded,18807,200
ao,2,ao,ao2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ao2.mp3,downloaded,14418,200
ao,3,ao,ao3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ao3.mp3,downloaded,18180,200
ao,4,ao,ao4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ao4.mp3,downloaded,13791,200
ba,1,ba,ba1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ba1.mp3,downloaded,15672,200
ba,2,ba,ba2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ba2.mp3,downloaded,11910,200
ba,3,ba,ba3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ba3.mp3,downloaded,16926,200
ba,4,ba,ba4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ba4.mp3,downloaded,10030,200
bai,1,bai,bai1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bai1.mp3,downloaded,18807,200
bai,2,bai,bai2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bai2.mp3,downloaded,10657,200
bai,3,bai,bai3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bai3.mp3,downloaded,16926,200
bai,4,bai,bai4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/bai4.mp3,downloaded,10657,200
ban,1,ban,ban1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ban1.mp3,downloaded,17553,200
ban,2,ban,ban2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ban2.mp3,downloaded,14418,200
ban,3,ban,ban3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ban3.mp3,downloaded,19434,200
